"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"2","4.263722","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"3","9.655286","0c:0d:d2:f5:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A PARTNER 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG**"
"4","9.998330","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"5","10.179354","0c:5b:73:54:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG** PARTNER 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A"
"6","12.906335","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"7","12.906365","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"8","13.186719","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"9","13.186759","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"10","14.263210","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"11","19.997092","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"12","24.268793","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"13","29.995490","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"14","32.775977","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","CDP","418","Device ID: vIOS-L2-01  Port ID: GigabitEthernet0/3  "
"15","34.268182","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"16","37.124142","0c:0d:d2:f5:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A PARTNER 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG**"
"17","37.183229","0c:5b:73:54:00:03","Slow-Protocols","LACP","124","v1 ACTOR 0c:5b:73:54:00:00 P: 4 K: 1 **DCSG** PARTNER 0c:0d:d2:f5:00:00 P: 4 K: 2 **DCSG*A"
"18","37.758121","0c:68:02:cc:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"19","38.579588","0c:68:02:cc:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"20","39.764073","0c:bb:fa:db:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"21","39.768825","0c:bb:fa:db:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"22","39.845738","0c:5b:73:54:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"23","39.993719","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"24","40.542668","0c:5b:50:82:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"25","42.318352","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","CDP","418","Device ID: vIOS-L2-01  Port ID: GigabitEthernet0/3  "
"26","42.909727","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"27","42.909775","0c:5b:73:54:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"28","43.182162","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","60","Dynamic Trunk Protocol"
"29","43.182199","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"30","44.267794","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"31","49.992230","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"32","54.266148","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"33","59.775865","0c:0d:d2:f5:00:03","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
"34","59.776013","0c:0d:d2:f5:00:03","DEC-MOP-Remote-Console","0x6002","77","DEC DNA Remote Console"
