"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"2","2.654682","00:50:79:66:68:01","Broadcast","ARP","64","Who has 192.168.0.6? Tell 192.168.0.1"
"3","3.207884","0c:0d:d2:f5:00:03","CDP/VTP/DTP/PAgP/UDLD","CDP","418","Device ID: vIOS-L2-01  Port ID: GigabitEthernet0/3  "
"4","3.655081","00:50:79:66:68:01","Broadcast","ARP","64","Who has 192.168.0.6? Tell 192.168.0.1"
"5","3.664532","192.168.0.1","192.168.0.6","ICMP","98","Echo (ping) request  id=0xba0b, seq=1/256, ttl=64 (reply in 6)"
"6","3.672333","192.168.0.6","192.168.0.1","ICMP","98","Echo (ping) reply    id=0xba0b, seq=1/256, ttl=64 (request in 5)"
"7","4.673335","192.168.0.1","192.168.0.6","ICMP","98","Echo (ping) request  id=0xbb0b, seq=2/512, ttl=64 (reply in 8)"
"8","4.674663","192.168.0.6","192.168.0.1","ICMP","98","Echo (ping) reply    id=0xbb0b, seq=2/512, ttl=64 (request in 7)"
"9","5.677741","192.168.0.1","192.168.0.6","ICMP","98","Echo (ping) request  id=0xbc0b, seq=3/768, ttl=64 (reply in 10)"
"10","5.685254","192.168.0.6","192.168.0.1","ICMP","98","Echo (ping) reply    id=0xbc0b, seq=3/768, ttl=64 (request in 9)"
"11","5.754576","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
"12","6.442823","00:50:79:66:68:04","Broadcast","ARP","64","Who has 192.168.0.5? Tell 192.168.0.2"
"13","6.448886","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0xbd0b, seq=1/256, ttl=64 (reply in 14)"
"14","6.450475","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0xbd0b, seq=1/256, ttl=64 (request in 13)"
"15","6.686068","192.168.0.1","192.168.0.6","ICMP","98","Echo (ping) request  id=0xbd0b, seq=4/1024, ttl=64 (reply in 16)"
"16","6.693025","192.168.0.6","192.168.0.1","ICMP","98","Echo (ping) reply    id=0xbd0b, seq=4/1024, ttl=64 (request in 15)"
"17","7.452465","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0xbe0b, seq=2/512, ttl=64 (reply in 18)"
"18","7.461062","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0xbe0b, seq=2/512, ttl=64 (request in 17)"
"19","7.694687","192.168.0.1","192.168.0.6","ICMP","98","Echo (ping) request  id=0xbe0b, seq=5/1280, ttl=64 (reply in 20)"
"20","7.696782","192.168.0.6","192.168.0.1","ICMP","98","Echo (ping) reply    id=0xbe0b, seq=5/1280, ttl=64 (request in 19)"
"21","8.464093","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0xbf0b, seq=3/768, ttl=64 (reply in 22)"
"22","8.468583","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0xbf0b, seq=3/768, ttl=64 (request in 21)"
"23","8.592434","00:50:79:66:68:05","Broadcast","ARP","64","Who has 192.168.0.1? Tell 192.168.0.4"
"24","9.471616","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0xc00b, seq=4/1024, ttl=64 (reply in 25)"
"25","9.484566","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0xc00b, seq=4/1024, ttl=64 (request in 24)"
"26","9.591993","00:50:79:66:68:05","Broadcast","ARP","64","Who has 192.168.0.1? Tell 192.168.0.4"
"27","10.007589","0c:5b:73:54:00:03","0c:5b:73:54:00:03","LOOP","60","Reply"
"28","10.485459","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0xc10b, seq=5/1280, ttl=64 (reply in 29)"
"29","10.492530","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0xc10b, seq=5/1280, ttl=64 (request in 28)"
"30","10.592245","00:50:79:66:68:05","Broadcast","ARP","64","Who has 192.168.0.1? Tell 192.168.0.4"
"31","11.871595","00:50:79:66:68:02","Broadcast","ARP","64","Who has 192.168.0.6? Tell 192.168.0.3"
"32","12.877050","00:50:79:66:68:02","Broadcast","ARP","64","Who has 192.168.0.6? Tell 192.168.0.3"
"33","13.471220","0c:68:02:cc:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"34","13.872467","00:50:79:66:68:02","Broadcast","ARP","64","Who has 192.168.0.6? Tell 192.168.0.3"
"35","14.292868","0c:68:02:cc:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"36","15.584903","0c:5b:73:54:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"37","15.634845","0c:bb:fa:db:00:03","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"38","15.641255","0c:bb:fa:db:00:01","CDP/VTP/DTP/PAgP/UDLD","DTP","90","Dynamic Trunk Protocol"
"39","15.753049","0c:0d:d2:f5:00:03","0c:0d:d2:f5:00:03","LOOP","60","Reply"
